월,사고(건),사망(명),부상(명)
01월,"14,480",190,"20,826"
02월,"13,284",181,"19,041"
03월,"16,000",187,"22,458"
04월,"16,336",182,"23,549"
05월,"17,552",203,"25,340"
06월,"16,716",202,"23,877"
07월,"16,578",205,"23,713"
08월,"17,212",246,"24,913"
09월,"17,860",239,"25,651"
10월,"17,333",265,"24,653"
11월,"17,748",257,"25,298"
12월,"17,197",194,"24,480"
