시간대,사고(건),사망(명),부상(명)
0시~2시,"6,680",176,"9,817"
2시~4시,"3,773",126,"5,337"
4시~6시,"4,686",193,"6,459"
6시~8시,"11,511",210,"15,897"
8시~10시,"21,524",238,"30,196"
10시~12시,"20,569",258,"29,734"
12시~14시,"22,438",221,"33,161"
14시~16시,"23,429",249,"34,326"
16시~18시,"27,016",226,"38,962"
18시~20시,"27,405",261,"38,590"
20시~22시,"17,619",202,"24,734"
22시~24시,"11,646",191,"16,586"
