요일,사고(건),사망(명),부상(명)
일,"21,259",314,"33,945"
월,"28,735",371,"40,269"
화,"29,001",352,"40,056"
수,"29,520",386,"40,618"
목,"29,188",391,"40,481"
금,"32,814",399,"45,806"
토,"27,779",338,"42,624"
